week,t_weeks,RMSE,MAE,JS,PredVar,CalibGap,T_mean,RH_mean,AH_mean,S5_mean,n_samples,JS_z,PredVar_z,CalibGap_z,DriftScore
4,0,1.059633082773779,0.8574719859575121,0.045438297553092755,1.0564539248448392,0.10319742123551556,13.9625,50.42847222222222,0.7547048611111111,832.1666666666666,144,-1.4937504684788299,-0.5180093694282961,-1.2126867874291947,-1.0748155417787737
5,1,1.342718236533941,1.051574273797522,0.049181711870768294,0.5541299527721346,0.5378815997035957,15.375,60.026785714285715,1.0044678571428574,1035.7083333333333,168,-1.4162095645141646,-0.8607787991365713,-0.8969513412151685,-1.0579799016219682
6,2,1.2712164401236778,0.9984043640753995,0.04363272993743263,1.5000690920518274,0.5771302567473509,19.511309523809523,40.42619047619048,0.8680910714285713,1006.9464285714286,168,-1.5311509091478037,-0.2153009057130264,-0.8684428450267772,-0.871631553295869
7,3,2.0433643519987204,1.5421000213733933,0.09215126242847468,1.4566664032612326,1.0669022923055387,19.08511904761905,56.469047619047615,1.18805,1064.25,168,-0.5261403628584763,-0.24491747930232075,-0.5126940051792008,-0.42791728244666594
8,4,1.3909899093877718,1.0856143195449863,0.05111548976522766,1.091851162859772,0.4109185884134554,16.151785714285715,56.40238095238095,0.9983363095238096,938.077380952381,168,-1.3761533823023127,-0.49385545330607195,-0.9891716818855906,-0.9530601724979917
9,5,1.5982100729612143,1.1862824431018182,0.05484831030472536,0.5488420598108767,0.6205005699562065,21.372619047619047,36.408928571428575,0.8677708333333334,967.0357142857143,168,-1.2988319173488283,-0.8643870841387977,-0.8369405592944114,-1.0000531869273457
10,6,2.623254949389021,1.5598998013160794,0.07742255544085423,0.30844798204284984,0.9104523363294668,22.714935064935066,33.660389610389615,0.866790909090909,950.9090909090909,154,-0.8312300903455317,-1.0284241309908382,-0.6263323640317238,-0.828662195122698
11,7,3.923601011651233,3.0973990686209008,0.08741482960614917,0.4716931281539045,2.9124733502894813,22.179761904761907,42.61607142857143,1.0710089285714286,863.6488095238095,168,-0.6242506043235687,-0.9170309888235529,0.8278475428611597,-0.2378113500953207
12,8,4.294348626525166,3.84341290786225,0.12919110185845561,1.5428704503015656,3.3445777749160044,24.75059523809524,42.29821428571429,1.2170994047619046,921.6130952380952,168,0.24110108795966223,-0.18609466039396186,1.1417091694824026,0.39890519901603433
13,9,3.407447480272389,3.004465417536841,0.13544813982207704,1.071336887432171,2.6336515770097426,26.12083333333334,37.657738095238095,1.192397619047619,865.9880952380952,168,0.3707090711181234,-0.5078537231082935,0.6253236844798524,0.16272634416322745
14,10,3.1505894116812185,2.696497535448759,0.1509098566450706,0.982476679406326,2.100899760708721,26.254615384615388,38.49769230769231,1.2311561538461537,953.4846153846154,130,0.6909823290472791,-0.5684890192959281,0.23835622448639443,0.12028317807924847
15,11,3.5197118903714544,3.084055288949881,0.1529182565109255,0.6091938544835118,2.609286098538119,29.72738095238096,35.585119047619045,1.3803375,991.3452380952381,168,0.7325842271822427,-0.8232049957020231,0.6076256738355077,0.17233496843857576
16,12,3.469463698935447,2.896965012565172,0.15127577710943127,0.30183283575919084,2.4747353887577095,30.054761904761904,33.11964285714286,1.2797053571428572,1055.625,168,0.6985619879302732,-1.0329380901987384,0.5098939631009494,0.058505953610828075
17,13,2.877589662616297,2.3080296830710236,0.12551738855831815,0.18776614003644987,1.9746191385694214,27.14464285714286,33.650000000000006,1.1133380952380951,962.8928571428571,168,0.16500396751680474,-1.1107734681924695,0.1466315412465962,-0.26637931980968954
18,14,3.5221290075529463,2.779840967607798,0.1548888435000189,0.39037974029727973,2.129250520503163,30.234523809523807,29.54642857142857,1.1439327380952382,1059.1666666666667,168,0.773402871208318,-0.9725165820518789,0.2589489679944542,0.019945085716964444
19,15,4.625364394055005,3.9565439204310504,0.15443250022509403,0.48618376365745686,3.766770472352369,29.960714285714282,35.795833333333334,1.4068297619047618,940.8690476190476,168,0.7639501985803402,-0.9071430536585868,1.4483713539289491,0.4350594996169008
20,16,4.658472811466461,4.006893392949877,0.16758441704927823,0.041616029249024855,3.8028718614368913,30.51556886227545,38.12994011976047,1.546488622754491,866.8383233532934,167,1.0363783705302145,-1.210501518039862,1.4745938132595797,0.4334902219166441
21,17,5.228628409005658,4.701420635826204,0.18081618777988973,1.1633957694390515,4.663475593434038,28.60487804878048,50.46524390243902,1.8392859756097564,881.1280487804878,164,1.3104606324535775,-0.44503575653808025,2.0996984680762916,0.988374447997263
22,18,5.2190953379547125,4.615038441062619,0.19351899679152307,2.6489074691524195,4.594659766940801,30.098809523809525,39.079166666666666,1.5497327380952381,700.2321428571429,168,1.5735860067947671,0.5686287835687645,2.0497136819702,1.3973094907779107
23,19,4.6534199577951565,4.1925243127889305,0.17785743083143749,2.6861479866251186,3.874664931153604,28.946428571428573,39.542857142857144,1.496489880952381,720.4761904761905,168,1.2491730834608221,0.5940404932339177,1.526741137742303,1.123318238145681
24,20,3.7681505376488285,3.2765241568025223,0.162094142897217,0.01905284614979763,3.27356640339495,27.157723577235775,44.04065040650406,1.4819674796747968,831.089430894309,123,0.922653096051643,-1.2258978953447581,1.0901296361474517,0.26229494561811223
25,21,3.890512710262515,3.0823928134797103,0.15477880168095343,0.3013226769091988,2.754201134260298,28.724000000000004,34.478,1.2710780000000002,950.34,150,0.7711234702657174,-1.0332862058925822,0.7128855745480515,0.1502409463070622
26,22,5.35877855811805,4.6296803319583075,0.12413035712410417,0.8421856397964396,4.413628804424586,26.23392857142857,44.74285714285714,1.4125226190476188,1112.6607142857142,168,0.13627306516156076,-0.6642190308298029,1.918220762374993,0.4634249322355836
27,23,3.7684329065369293,3.4550441020846177,0.135010407212727,1.6960146511056813,3.411070599843258,23.81547619047619,48.0422619047619,1.3474732142857142,1016.0595238095239,168,0.36164189892092724,-0.08159407254393855,1.1900066295427745,0.4900181519732543
28,24,3.323180497021241,2.808167243883186,0.0744197149493066,0.035328041505539254,1.1448849859521726,20.507142857142856,46.35357142857143,1.0953375,1013.4940476190476,168,-0.8934307837277395,-1.2147922349729077,-0.4560508104297059,-0.854757943043451
29,25,3.292638269343654,2.7893471161980656,0.15703834017648224,2.5731443030907233,2.635350581361175,22.42814371257485,55.691017964071854,1.468634131736527,1233.934131736527,167,0.8179274418856844,0.5169304799486811,0.6265577664262201,0.6538052294201953
30,26,3.1739135314918294,2.6750808982667436,0.11825948488420868,1.28781515127503,2.0685796583426406,21.21011904761905,58.544642857142854,1.45895,1081.8511904761904,168,0.014664100213958906,-0.36013604454424003,0.21488032532162477,-0.043530539669552115
31,27,2.992822946333628,2.3435964326318506,0.10784921195213315,0.7020329567333432,1.688419920135658,18.13035714285714,61.266666666666666,1.2492047619047622,1063.4404761904761,168,-0.20097379214022337,-0.7598546323866981,-0.06125096843376341,-0.34069313098689497
32,28,3.428519444978913,2.7023568006988716,0.1872168424573571,2.2496651834967487,2.694107560059326,21.01607142857143,64.98511904761905,1.5812166666666667,1344.375,168,1.4430434853087928,0.29619892121328917,0.6692362484285526,0.8028262183168783
33,29,3.7202651230704697,3.078610179029035,0.16661272602921562,2.063235809197158,3.009919800435936,20.104761904761908,68.19821428571429,1.5753630952380953,1207.3333333333333,168,1.0162508095188036,0.168985620908576,0.8986283532587093,0.6946215945620297
34,30,4.081347005944942,3.2729100396647235,0.09276512475184065,0.16862692841774152,1.1048316274347414,14.98154761904762,59.80476190476191,1.0406797619047619,1019.922619047619,168,-0.5134248482442129,-1.123833439478612,-0.4851438063340879,-0.7074673646856375
35,31,3.63032885634576,2.7585109681665476,0.09190932898852952,2.4216624812718885,0.6695604574140575,12.798214285714288,51.546428571428564,0.762379761904762,903.5119047619048,168,-0.5311517604865855,0.4135642450828338,-0.8013056173641476,-0.3062977109226331
36,32,6.747284818481495,4.420494726516809,0.10430814653137965,0.3519103464057274,2.950622762930676,10.861309523809522,54.80059523809524,0.7252791666666667,1381.0,168,-0.2743232507953214,-0.9987668367451227,0.8555575963200185,-0.13917749707347518
37,33,4.608576947302822,3.7675188562746618,0.09496140069804065,0.6618590177859316,2.9703739760831933,12.010119047619048,70.61369047619047,0.9838107142857143,1307.2738095238096,168,-0.46793129402552114,-0.7872680128099329,0.8699040078226316,-0.12843176633760753
38,34,3.38864372571683,2.5798974808893895,0.11283158522015867,1.1859093791148059,1.2909992327016369,14.06011904761905,70.3470238095238,1.1157482142857142,1120.3214285714287,168,-0.09776915212271733,-0.42967320651405694,-0.34991985563339256,-0.2924540714233889
39,35,4.4692533685795475,3.4600265113022317,0.08859442834709562,2.0194958362088657,1.3601972975745191,12.258741258741258,48.38601398601398,0.6703405594405595,1136.1328671328672,143,-0.5998164527906534,0.13913889562730222,-0.29965742839993625,-0.2534449951877625
40,36,3.926419150798711,3.0837738930735346,0.14403086460793638,4.146122619287111,0.05898121684217372,8.213559322033898,49.40762711864408,0.540064406779661,906.5932203389831,118,0.548491219151558,1.5902793750081452,-1.2448034912697223,0.2979890342966603
41,37,4.757993867989965,3.795163591824143,0.09202553088681198,3.5415678474542918,0.7202120780903822,9.803680981595091,62.94233128834355,0.7823705521472392,1234.8220858895706,163,-0.5287447599596369,1.1777509951390694,-0.7645145105148852,-0.038502758445150866
42,38,3.418952512192687,3.014363604115335,0.14084435945144536,4.373384001827136,1.3938049386644584,8.677586206896551,49.8948275862069,0.5563482758620689,1035.051724137931,116,0.4824861047415112,1.7453551006728645,-0.27524631780205644,0.6508649625374399
43,39,3.7895173187401987,3.2283089900730304,0.09621499224891282,3.4183714512971015,1.0808478232152599,12.148809523809524,65.16904761904762,0.916747619047619,1212.607142857143,168,-0.4419644589898916,1.0936858085251944,-0.5025645856084454,0.049718921308952425
44,40,5.426037647131794,4.599883009410423,0.12008270481413993,2.44396761846858,2.2384562015400675,7.526785714285714,62.95595238095238,0.6569660714285716,1222.345238095238,168,0.05243019007094519,0.4287845403136738,0.3382711659010099,0.27316196542854293
45,41,4.9695363864257045,4.243885256744629,0.14633438607821264,3.656869923643184,0.03151986141700469,7.479166666666667,51.707142857142856,0.5345464285714285,1040.720238095238,168,0.5962062519930598,1.256429356309789,-1.2647502106082649,0.19596179923152798
46,42,4.76978763175563,4.093217703377204,0.21212146393492576,4.398854574837376,1.3690744288721923,5.461006289308178,43.43018867924528,0.38556729559748426,907.7295597484276,159,1.9589166156620526,1.7627353856491887,-0.2932094711238074,1.1428141767291446
47,43,4.771794051826911,4.131686468287279,0.17443780312045915,4.187474638828842,1.4492804413196936,6.878321678321678,43.218181818181826,0.4181132867132867,1035.5524475524476,143,1.1783390796798754,1.618496639052142,-0.23495135549970922,0.8539614544107694
48,44,4.456628131031573,3.597031065603936,0.12445363232213984,4.077316978527474,0.07223215200291477,9.544444444444443,47.01025641025641,0.5587034188034189,1234.2735042735044,117,0.142969372050884,1.5433286588267572,-1.2351785954649699,0.1503731451375571
49,45,4.505370036650525,3.9404378434540708,0.17027347684076172,4.587850093382295,1.4768968878372233,6.709523809523809,58.221428571428575,0.5613970238095238,910.1130952380952,168,1.0920794255970065,1.891699738757317,-0.21489198482100777,0.9229623931777718
50,46,4.037352210833264,3.702644001958871,0.18669871885745615,4.419130957900036,1.3890920276156713,4.854166666666667,53.10178571428572,0.46926190476190477,801.5416666666666,168,1.432311098003427,1.7765713254914715,-0.2786695688580299,0.9767376182122897
51,47,4.724958011240866,3.985896037490105,0.14765269758337446,4.305725127094464,0.41626028143156013,7.330357142857143,49.69345238095238,0.49162976190476193,1077.029761904762,168,0.6235136930461626,1.6991869000768849,-0.9852917112950955,0.4458029606093173
52,48,4.463216587538062,3.719628234822235,0.07894184723091222,3.247147569000754,0.4873428184483508,13.56826347305389,48.726347305389226,0.7168281437125748,1128.0419161676646,167,-0.7997595533464794,0.9768482380525251,-0.9336604864777664,-0.2521906005905736
53,49,3.6645709939634528,2.939653825147078,0.07135312933801077,2.7592361109866443,0.1122177974948606,16.605357142857144,50.16011904761905,0.8900184523809523,1138.732142857143,168,-0.9569518904516585,0.6439134359933003,-1.2061347833206029,-0.5063910792596537
54,50,2.4544655525609653,1.7070352847664285,0.10278616179821291,2.0889936316999425,0.0575596472876736,17.298809523809524,59.342261904761905,1.1293154761904762,1144.732142857143,168,-0.3058495692882876,0.18656191553249366,-1.2458360567962528,-0.4550412368506822
55,51,5.152120459870281,4.656428499755831,0.12093134530952461,4.532644458864514,4.141436667550288,16.904273504273505,39.422222222222224,0.712591452991453,709.1452991452992,117,0.07000888843795097,1.8540292214967857,1.7205123799470217,1.2148501632939195
