window,n_samples,RMSE,MAE,JSD,SPD,CAL,volt_mean,humid_mean,light_mean,n_sensors,JSD_z,SPD_z,CAL_z,DS,t
3,24,1.1489334262799786,0.9694775477122431,0.07827791313104737,0.0637976130442044,0.5134511553946304,2.6561953616254486,34.13610692328566,419.7714275597423,49.875,-0.7482293287586548,-1.5040869160056138,-1.2154795386688484,-1.1559319278110392,0
4,24,1.5999960087792504,1.4144311330748522,0.09735384229249545,1.6290183422644695,0.42876488622853515,2.654589473284504,30.646722417960337,295.88965014905125,49.916666666666664,-0.32110864925103383,1.4478344369190859,-1.233674601788416,-0.03564960470678794,1
5,24,1.4002056729190386,1.1740464785139262,0.07695520609690434,0.44376882172795584,1.0491331027792334,2.634895942455963,36.05650153180961,381.96521393695,49.541666666666664,-0.7778454760210612,-0.787481836945017,-1.1003868921199793,-0.8885714016953526,2
6,24,2.247732249061415,1.970812315957528,0.060362429197566306,0.7127810571611972,1.9708123159575308,2.619919788498055,38.711105223960104,427.5691107463736,51.0,-1.1493669932264452,-0.2801393598434108,-0.9023617385158981,-0.777289363861918,3
7,24,4.2513723930433365,3.7573312858447268,0.06994553047526889,1.1839690040138993,3.7573312858447316,2.615246004860637,40.05344395385978,442.0421516509011,50.291666666666664,-0.9347960176854582,0.6084955371964076,-0.5185235349737285,-0.2816080051542597,4
8,24,4.862240298443046,4.4812683347607445,0.07343398006309614,0.6815078425143404,4.481268334760745,2.616623449743926,39.048364402889774,423.145368659432,50.583333333333336,-0.8566876882945061,-0.33911894551286625,-0.3629837948325492,-0.5195968095466406,5
9,24,4.505293108090239,4.412219762853511,0.09376937147498177,1.5297778854208262,4.412219762853514,2.6029358537913545,39.390170574808984,481.0145358427612,50.833333333333336,-0.4013669474599512,1.2606723209556143,-0.37781905840643526,0.16049543836307592,6
10,24,5.5237723933623455,5.433300499532037,0.12817291937806213,1.7765211724121786,5.433300499532038,2.58745358980171,40.70207262045014,437.7170569174147,48.5,0.3689476533896776,1.7260167698011428,-0.15843723137610383,0.6455090639382388,7
11,10,4.493040178929467,4.472087985047647,0.13636968362601362,1.5253603873486905,4.472087985047647,2.5734612663868863,36.914238027490754,249.93392561016276,46.9,0.5524777706237178,1.252341159323135,-0.3649562166210438,0.4799542377752697,8
12,15,7.51894103409966,7.491028355274586,0.14069184494716652,1.5904858723092894,7.491028355274587,2.5353839958184685,35.249476059991245,595.4822130815223,48.46666666666667,0.6492533701139522,1.3751642896879737,0.28367090004595996,0.7693628532826285,9
13,24,7.216736620105248,6.7111981552499556,0.13252838850073634,0.8355472449227626,6.711198155249956,2.5139379075394737,42.464049486691955,431.9382585514441,46.0,0.4664690331089263,-0.048608992077926405,0.11612237238365129,0.1779941378048837,10
14,24,8.699462420655678,8.077129399944711,0.1363653430932727,1.068343453522796,8.077129399944704,2.525759015778808,39.82423044217717,463.95910217888354,46.458333333333336,0.5523805836779057,0.39043202381041225,0.4095962195484845,0.4508029423456008,11
15,24,8.451579109628879,7.506048642177766,0.14974821439885844,0.5423031760518118,7.506048642177763,2.506689276231532,41.60967064073875,433.68663598885206,45.666666666666664,0.8520305266729187,-0.601651392014648,0.2868980473860004,0.179092394014757,12
16,17,9.248599596067715,8.730824048118754,0.13525301553933838,0.8148792701197161,8.730824048118755,2.4870777585974015,40.54591995412555,609.1158964253523,44.411764705882355,0.527474950161944,-0.08758767093379337,0.5500441989148054,0.3299771593809853,13
17,13,9.70927861507241,9.6576101575026,0.1429999586439739,1.5806490314340997,9.657610157502598,2.477266546630926,34.30423227021961,536.1438463929619,44.53846153846154,0.7009333214399187,1.3566125416292445,0.7491665823262682,0.9355708151318104,14
18,24,9.807338952166122,9.647976988437888,0.14093989390988904,0.7091503080414494,9.647976988437893,2.4550183069598916,37.09164661220502,430.76184703154223,43.75,0.6548073245563558,-0.28698675564747433,0.7470968711334183,0.37163914668076653,15
19,24,11.150462709351668,10.662856217545096,0.14869504940913258,0.11859813446239409,10.662856217545098,2.426281332966522,43.20379272185814,458.4708957459846,43.416666666666664,0.8284495759240329,-1.400736106560132,0.9651462882842293,0.13095325254937673,16
20,24,11.574023478130151,11.071328709526815,0.15381156060617146,0.4819940931036535,11.071328709526817,2.407066646469621,44.54926327731503,448.81593353992145,41.708333333333336,0.9430111116003218,-0.7153910495635626,1.052907655592048,0.4268425725429357,17
21,24,13.495508157017372,12.811980003886829,0.14574206069292772,0.8594165936862803,12.811980003886827,2.4110271706251116,37.95769555246868,458.3752398502977,40.791666666666664,0.762330513708559,-0.003592695666789788,1.4268910708718103,0.7285429629711931,18
22,24,13.029947429293072,12.576567451369321,0.16924015388680824,0.31382166988939764,12.57656745136932,2.3679447712648414,45.065910534396494,296.8654720700294,36.958333333333336,1.288465909114995,-1.032555113258627,1.3763120774367157,0.5440742910976946,19
23,24,16.58115942139398,16.10758887059943,0.17409973237084075,0.1838198372687585,16.10758887059943,2.327304221900453,49.356618686262664,424.0975414139675,30.416666666666668,1.397274578231641,-1.2777315145597905,2.134961126829,0.7515013968336168,20
