temp_std,humid_mean,humid_std,light_mean,light_std,volt_mean,n_sensors,hour
0.0610143584351021,0.19416801188501534,0.05137152247737198,0.05921555367463881,0.12870658107833471,0.06566176134289253,0.06547645667168006,0.0006090594833433854
0.12406552792362241,0.2069204996318318,0.15189890564443462,0.061265199893282364,0.11213858312945119,0.06244993866397748,0.059483023970020456,0.0006090594833433854
0.07762554382659723,0.10566871137198162,0.09665334286739108,0.0551490189745067,0.11640159014557036,0.09805792543416428,0.06547645667168006,0.0006090594833433854
0.06600594142586952,0.04495236069064975,0.05391240434580409,0.0553338772895438,0.08762847894657605,0.14433468635221527,0.030122625046528597,0.0006090594833433854
0.050810178638726444,0.07622059914144505,0.07885111634301067,0.06614723088177274,0.06873184128364468,0.14134985690606056,0.0768443611241475,0.0006090594833433854
0.06600055082788685,0.05526128403280969,0.058104044596076015,0.06510552677640055,0.1331139387501953,0.1419096098424497,0.06736782619560758,0.0006090594833433854
0.1270321486387379,0.06387138442838722,0.08004323122813396,0.049551713151701676,0.1234927209117844,0.2733553323044783,0.03219938165328729,0.0006090594833433854
0.0658688474683159,0.06096636020914508,0.08840246778813413,0.055524508793847425,0.11222786593053322,0.3173861479173194,0.3243980974338586,0.0006090594833433854
0.11019583288464053,0.09296189018322495,0.07349418959986662,0.1052320379869411,0.12500944016785698,0.2589912974076256,0.3041275413978604,0.020945239380092733
0.11039455487119165,0.11855633121408815,0.09954992676682811,0.07823347673547063,0.09817499471519273,0.2886399117833559,0.31150569847575826,0.020479865015446623
0.0620577931185624,0.06288651018457611,0.06877048996126667,0.06726203746971735,0.11860341580033625,0.3204122891089777,0.3596255128791108,0.0006090594833433854
0.07690101710174523,0.10655946427885446,0.05469056600031714,0.05480569087048822,0.09530594695412163,0.3102097379604234,0.39184126209688797,0.0006090594833433854
0.10281812742687896,0.10547347618517318,0.09578705127914279,0.060943661942940916,0.12905790016526733,0.31195698306212627,0.3913394556459948,0.0006090594833433854
0.09271146647862134,0.07255444963700769,0.0831877064413026,0.06797893289143528,0.09209723770957542,0.29140250567958753,0.36789176400630547,0.014200061470871833
0.060684162367206036,0.14704803755573528,0.11793720486938847,0.05595538410865264,0.10503403399981931,0.2797044112079655,0.35628733812861113,0.02134909691441313
0.041495086371663784,0.08959656162004685,0.12734578633814148,0.04688476725132118,0.1072500004601663,0.32668771273054664,0.38765017702388255,0.0006090594833433854
0.11284732974538914,0.0892263515601498,0.1253915408648616,0.04332378665017044,0.10765858543999281,0.32734755500715695,0.38315618652199646,0.0006090594833433854
0.18692947579795333,0.08658496507318947,0.06484993486911998,0.061441937720427386,0.12703599969740698,0.3176939582579176,0.3853471539500136,0.0006090594833433854
0.14634051987442118,0.058841240335146386,0.08054692849101744,0.05695125689871745,0.12165652920292558,0.31479417220422745,0.3861967790536228,0.0006090594833433854
0.230346740838184,0.1161231404345829,0.0390230415415498,0.11986770224012766,0.15004548837750548,0.3169637597643352,0.38094229841483745,0.0006090594833433854
0.30520159124407975,0.19948484431946395,0.03762160423321245,0.04992329889818157,0.10209754580413924,0.32385288246764776,0.3740070325166581,0.0006090594833433854
