k,n,r,R2,slope,p,t_NW,p_NW
1,13,0.7989,0.6382,4.6622,0.0011,4.5990,0.0008
2,12,0.8337,0.6950,4.9488,0.0008,4.8471,0.0007
3,11,0.6796,0.4618,4.5950,0.0214,2.8984,0.0176
4,10,0.6210,0.3856,4.2959,0.0554,3.7498,0.0056
