,Mean,SD,Median,IQR,Skew
RMSE,7.4531,4.3239,7.5189,5.3143,0.2443
MAE,7.1018,4.2167,7.4910,5.2454,0.2537
JSD,0.1231,0.0347,0.1364,0.0520,-0.5096
CAL,7.0272,4.3300,7.4910,5.2454,0.1724
SPD,0.8879,0.5451,0.8149,1.0434,0.1817
DS,0.1630,0.5817,0.3300,0.5797,-0.8795
volt_mean,2.5239,0.0984,2.5258,0.1602,-0.3559
humid_mean,39.3753,4.2602,39.3902,4.6954,0.2268
light_mean,435.5601,85.6347,433.6866,35.3255,-0.1201
n_sensors,45.7155,5.1429,46.4583,6.1250,-1.4012
