k,n,r,R2,slope,p,t_NW,p_NW
1,39,0.1990,0.0396,0.1408,0.2246,2.4118,0.0210
2,38,-0.0680,0.0046,-0.0468,0.6851,-0.3753,0.7096
3,37,0.0502,0.0025,0.0343,0.7681,0.2961,0.7689
4,36,0.1967,0.0387,0.1341,0.2503,0.9356,0.3561
