S1,S2,S3,S4,S5,T,RH,AH
0.07218991986854412,0.03198666655266999,0.0361223378156585,0.04752981671566543,0.03649631162438788,0.04029004860412168,0.035213229740488024,0.06367804950320641
0.014921752486007588,0.03642200060449978,0.036279264832260606,0.024440396774838734,0.014654048123270275,0.020177864406380176,0.08045222176854179,0.1661061459703474
0.03352239079288516,0.021894346913700576,0.02012147068111252,0.021046032919324394,0.02617893719629224,0.11363766224695562,0.07174105976001321,0.040919938989177285
0.020394241740012437,0.015685305254416082,0.04778539831689291,0.07114388395129345,0.011871782060623254,0.1413070496852727,0.04582739989925514,0.38319503852003145
0.06319880613453494,0.011976590802657935,0.023953948601630578,0.021169685099507226,0.02950849752759611,0.049056582795274375,0.03153689689760056,0.17852291026301956
0.052735070379353856,0.01209452321672893,0.015553921518414327,0.013866975482476722,0.013851727215897978,0.1795195698582122,0.12167828175811127,0.02948641300860757
0.03867592859462457,0.020049721566739606,0.02652319042436952,0.02437077302417244,0.014288068921617238,0.20405433750202367,0.1397507951468451,0.15166762834644168
0.11911734198001475,0.01218501181589422,0.026150480270294946,0.010059920269761984,0.0345632527754835,0.2424764281208729,0.09944138689580982,0.15532481472106124
0.13153291844858667,0.018293633971112385,0.012807117545122577,0.0518748247468499,0.025474821752608033,0.3166828040804276,0.059171931250297426,0.4176907630726403
0.1200546780802983,0.01784122851963786,0.014425452654273899,0.02528551632271451,0.033051799053178565,0.3743581029417312,0.11866819077051308,0.37990015023426893
0.11728074180957684,0.0301730847863992,0.043303705893919915,0.06909642295686919,0.026724624465485937,0.3507581415783734,0.10886383381124956,0.4610782978586907
0.06712947702174578,0.01965489239532401,0.06465867828171146,0.0641843347016724,0.025991037074208717,0.42834435098060814,0.12357282098438527,0.42981046064774836
0.0593693248063997,0.031173039536280152,0.09299607152688083,0.04318184803832636,0.015994361296549662,0.43418769394353385,0.16004137328906418,0.37326250443841547
0.10002585158840566,0.019009718511907928,0.06038964658654128,0.028944128143241675,0.026104813719113412,0.35741158149112895,0.15201272258682366,0.2602406458393825
0.06294703903493473,0.021237278843204206,0.09475256013379307,0.026053343172600038,0.021169011056277914,0.4233951790699438,0.23041149175237158,0.35914484493702586
0.07859438554785296,0.009601598290314168,0.06940064540015695,0.049746024851594975,0.020562488006801403,0.45035622753527405,0.13237517103191468,0.42482346113684305
0.09360329029618789,0.02461251444928947,0.10615447916970908,0.06142807755665951,0.030536752579967914,0.46452970120558124,0.10039618766318537,0.45941433347364524
0.1209074300748536,0.05721978873157261,0.09359070666594299,0.0844570569825783,0.04209253848184059,0.4423772615089542,0.025348060121066718,0.5805366596723087
0.20771991816735624,0.09942436808489284,0.03695332641709352,0.04368986002771595,0.11966234141826046,0.4615761386179492,0.06856353339596899,0.5105624882029471
0.1968606503230883,0.08515017798145781,0.041220624960987835,0.03469520008512232,0.10225150695387673,0.4218638612081016,0.08880559736086421,0.4520118277780011
0.1074182863004248,0.019271050667161168,0.10555190419805405,0.026083138058431876,0.06165204939935995,0.3947067740666177,0.03357472087649977,0.5484952196111864
0.0731176957210044,0.017936655063330663,0.10261017813657605,0.01841507197753499,0.009058962576226607,0.4466457717885546,0.1413059673806118,0.4291401108037882
0.022607556831977203,0.033005716370710966,0.054096062696209965,0.024510434910581164,0.02268954992740415,0.3922579198825821,0.06098337540275907,0.38289224097060875
0.054465891512830836,0.03163053268580137,0.06431330537901353,0.022755561069485057,0.02536126453712207,0.33621564647322016,0.018573293676980365,0.5267677623673626
0.09509248471469112,0.024952824992629016,0.07203109661160854,0.05941267565379445,0.015538672512567783,0.14764431045949236,0.032554553890760396,0.14813110075890923
0.015811144613593026,0.05798842368387054,0.20109540400342463,0.028537464559923953,0.057040556262503726,0.2897430331179631,0.04123544436412428,0.5648552508064547
0.023522096170954805,0.03029463234457857,0.15046543695246845,0.012571049675153809,0.01103165861540521,0.2022628534727885,0.06463425431817163,0.4512938975241484
0.04360047625044828,0.0265222830034777,0.11213702875100315,0.03369948590560104,0.020338749717119617,0.13481016670982893,0.09679692424472436,0.39488858103486213
