signal,n,r,R2,p,t_NW,p_NW
DS,51.0000,0.5004,0.2504,0.0002,2.7504,0.0083
JSD,51.0000,0.5141,0.2643,0.0001,2.8311,0.0067
SPD,51.0000,0.2746,0.0754,0.0511,2.1015,0.0408
CAL,51.0000,0.2148,0.0461,0.1302,1.0379,0.3044
JSD+SPD (label-free),51.0000,0.4766,0.2271,0.0004,2.8968,0.0056
ADWIN,51.0000,0.2887,0.0833,0.0399,1.7059,0.0944
Page-Hinkley,51.0000,0.5298,0.2807,0.0001,2.7436,0.0085
DDM,51.0000,0.6276,0.3938,0.0000,4.2123,0.0001
Persistence (RMSE_t),51.0000,0.6445,0.4154,0.0000,4.2610,0.0001
