k,n,r,R2,slope,p,t_NW,p_NW
1,51,0.5004,0.2504,0.8995,0.0002,2.7504,0.0083
2,50,0.3270,0.1069,0.5614,0.0204,1.4917,0.1423
3,49,0.3661,0.1340,0.5937,0.0097,2.0633,0.0446
4,48,0.4043,0.1635,0.6330,0.0044,2.2174,0.0316
